route,x,y,lat,long,season,type,hab
F-M,588355.0169288209,5562933.512071702,-40.079244,148.036292,winter,FR,OO
F-M,588434.7202740029,5563015.355604473,-40.078497,148.037207,winter,FR,OO
F-M,589561.7338481687,5563873.439113932,-40.070685,148.050353,winter,FR,FO
F-M,589568.399146096,5567743.697784675,-40.035822,148.049765,winter,FR,OO
F-M,589366.8392016026,5569057.714722511,-40.023964,148.047326,winter,FR,OO
F-M,588217.349802044,5562712.164049159,-40.081235,148.034664,winter,FR,OO
F-M,588324.1142349023,5562881.821818849,-40.079698,148.035904,winter,FR,OO
F-M,588412.5779940295,5562998.117164027,-40.078626,148.03692,winter,FR,OO
F-M,588496.8116496854,5563061.023758313,-40.078059,148.037909,winter,FR,OO
F-M,588594.9050361934,5563131.817968649,-40.077416,148.039055,winter,FR,FF
F-M,588926.1070124226,5563352.993471548,-40.075408,148.042926,winter,FR,FF
F-M,589366.9574334018,5569527.18507868,-40.019735,148.047215,winter,FR,OO
F-M,588369.1167480375,5562955.573360571,-40.079031,148.036431,winter,FR,OO
F-M,588324.3377915614,5562882.170996729,-40.079719,148.035957,winter,FR,OO
F-M,588303.0511836787,5562850.016545991,-40.080027,148.035741,winter,FR,OO
F-M,588923.0807241454,5563351.010362367,-40.075439,148.042902,spring,FR,FF
F-M,588433.6295711488,5563014.5064590275,-40.07849,148.037179,spring,FR,OO
F-M,587847.1212395789,5562383.596337617,-40.084245,148.030398,spring,FR,OO
F-M,586979.9856297116,5561764.343362298,-40.089932,148.020236,spring,FR,OO
F-M,587290.4186084437,5560732.315806436,-40.099186,148.024142,spring,FR,OO
F-M,587194.2438842352,5561319.149769505,-40.093897,148.022898,spring,FR,OO
F-M,588321.8736740954,5562878.322239475,-40.079745,148.03591,spring,FR,OO
F-M,589071.2785522344,5563469.717666888,-40.074299,148.044568,spring,FR,FF
F-M,589876.4979271014,5570882.045900774,-40.007465,148.053009,spring,FR,OO
F-M,591025.2642314925,5571752.677881843,-39.999507,148.066351,spring,FR,OO
F-M,589366.9619191958,5569731.201525784,-40.017897,148.047207,spring,FR,OO
F-M,589201.4578880375,5563576.085637231,-40.073408,148.046168,spring,FR,FF
F-M,589480.3134619617,5568103.980031655,-40.032541,148.048781,spring,FR,FF
F-M,589707.6157283272,5566259.44053616,-40.049143,148.051699,spring,FR,FF
F-M,589245.0912017626,5563611.739145906,-40.073086000000004,148.046679,spring,FR,FF
F-M,588760.5253754265,5563247.11113939,-40.076352,148.040974,spring,FR,FF
